《泥人续·送件》V2 字幕位置报告
样式：42px 微软雅黑粗体 / 纯白 / 4px黑描边 / 无气泡 / 左对齐 / 边距72 / 默认Y=1265-1380
图06、10、16、19为静默图，无字幕。位置由低信息带检测自动选择，用户目检后可改OVERRIDES。

图号 | 行数 | Y | Y=1280评分 | Y=520评分 | 说明
01 | 1行 | 1280 | 10.88 | 25.0
02 | 1行 | 520 | 23.98 | 15.15
03 | 2行 | 1280 | 14.8 | 22.07
04 | 1行 | 1280 | 14.34 | 18.92
05 | 1行 | 520 | 24.75 | 15.97
06 | 静默图 | None | None | None
07 | 1行 | 1280 | 8.78 | 21.81
08 | 1行 | 1280 | 19.87 | 23.19
09 | 1行 | 1280 | 9.35 | 16.0
10 | 静默图 | None | None | None
11 | 2行 | 520 | 32.5 | 32.35
12 | 1行 | 520 | 15.74 | 15.6
13 | 1行 | 520 | 23.52 | 16.96
14 | 2行 | 1280 | 20.45 | 22.03
15 | 1行 | 520 | 21.98 | 11.46
16 | 静默图 | None | None | None
17 | 2行 | 520 | 21.05 | 12.73
18 | 1行 | 520 | 17.24 | 14.15
19 | 静默图 | None | None | None
20 | 1行 | 1280 | 16.22 | 23.34
